zipcode,population,radius_in_miles,population_density,percent_occupied_units,median_home_value,median_household_income,kmeans_labels
98199,19686,3.0,4714.0,0.927420998980632,606200.0,82882.0,1
39073,19685,12.0,123.0,0.9241423125794155,120400.0,48713.0,0
43231,19685,2.0,4578.0,0.927007299270073,128800.0,44962.0,0
15202,19685,3.0,4477.0,0.9046707503828484,108000.0,43791.0,0
94503,19681,6.0,1519.0,0.945910290237467,330300.0,82746.0,1
44654,19679,14.0,125.0,0.9208855860040254,156100.0,44866.0,0
85546,19677,29.0,29.0,0.8512269938650306,119000.0,45662.0,0
76308,19677,3.0,2198.0,0.9158108686350022,130900.0,46546.0,0
44511,19672,2.0,2648.0,0.8741025381737284,85300.0,39966.0,0
75116,19669,2.0,3838.0,0.9451817657241778,103000.0,53706.0,0
49783,19668,18.0,130.0,0.8739015352038115,95700.0,38118.0,0
12047,19664,3.0,2227.0,0.8991579379749435,161600.0,47138.0,0
77006,19664,1.0,8720.0,0.8681811498309072,327300.0,67458.0,1
37914,19663,7.0,494.0,0.8568174759291852,110900.0,35843.0,0
15143,19660,6.0,534.0,0.9285631045332712,270600.0,86084.0,1
28472,19658,16.0,108.0,0.8841637213544635,86500.0,35472.0,0
19958,19650,7.0,401.0,0.60679965537809,318300.0,54938.0,2
6905,19649,3.0,3956.0,0.9502284796838335,516900.0,99626.0,1
80132,19637,9.0,642.0,0.9530569219957835,374700.0,107475.0,1
74804,19631,11.0,210.0,0.9281226438803719,121100.0,44789.0,0
27518,19630,3.0,2040.0,0.9266386049308478,365800.0,102038.0,1
89408,19626,19.0,132.0,0.8841961852861036,132600.0,53111.0,0
